DateTime,AddedIPs,RemovedIPs
1464900772,1,0
1464902900,0,1
1464905121,1,0
1464905782,0,1
1464907494,2,0
1464910357,1,0
1464915149,0,1
1464919757,0,1
1464922833,1,0
1464928593,1,1
1464931000,1,0
1464932427,1,0
1464933855,0,1
1464934577,1,0
1464937451,1,0
1464948255,1,0
1464949238,0,1
1464951410,1,0
1464952818,1,0
1464954974,1,0
1464957440,0,1
1464958098,0,1
1464964820,1,0
1464965542,0,1
1464967001,2,0
1464967699,1,0
1464969175,0,20
1464970586,0,3
1464980170,0,1
1464990502,1,0
1464998433,1,0
1465007567,0,1
1465009694,1,0
1465018349,1,0
1465019779,1,0
1465022679,0,1
1465024104,1,0
1465024814,1,1
1465027953,1,0
1465036592,0,10
1465039691,1,0
1465042580,0,1
1465053149,1,0
1465058906,0,1
1465060362,2,0
1465061806,2,0
1465062526,1,0
1465063933,0,1
1465069697,1,0
1465077166,1,0
1465082907,1,0
1465083628,1,0
1465085784,0,1
1465086507,1,0
1465087943,1,0
1465088950,1,0
1465093243,0,1
1465103547,1,0
1465105699,2,1
1465107150,2,0
1465118187,2,0
1465124652,1,0
1465126133,0,1
1465127541,3,1
1465130000,1,0
1465136412,1,0
1465137139,2,0
1465137894,1,0
1465138588,1,0
1465139307,1,0
1465140014,2,1
1465140749,0,1
1465142903,0,2
1465146495,1,0
1465147221,1,1
1465148648,0,1
1465151542,1,0
1465155853,0,1
1465157304,1,1
1465160948,1,0
1465168344,0,1
1465169055,1,0
1465171221,0,1
1465171945,0,2
1465176979,1,0
1465180378,0,1
1465191150,0,1
1465195212,0,1
1465197398,0,1
1465203154,1,0
1465204178,1,0
1465204841,0,3
1465207020,1,0
1465209151,1,0
1465209850,1,0
1465213466,1,0
1465214171,0,1
1465219228,1,0
1465219949,0,1
1465222106,1,0
1465223547,2,0
1465225003,1,0
1465229329,1,1
1465230042,1,0
1465230765,0,1
1465232691,1,0
1465233381,3,0
1465236979,0,1
1465242511,1,0
1465243942,0,1
1465244655,1,0
1465251863,0,2
1465259307,1,0
1465260025,1,0
1465261750,2,0
1465263142,0,1
1465266747,0,1
1465269621,0,1
1465278253,1,0
1465281851,1,0
1465289084,0,1
1465293318,2,0
1465297694,1,0
1465298435,1,0
1465300603,1,0
1465302751,1,0
1465310905,1,0
1465311631,1,1
1465314519,0,7
1465315234,1,0
1465316653,0,1
1465318136,0,1
1465320984,2,0
1465323887,1,0
1465325312,0,1
1465326057,1,1
1465327449,3,0
1465328176,1,0
1465328924,0,1
1465331056,0,1
1465332499,1,0
1465333224,1,0
1465334003,4,0
1465336839,1,0
1465342582,0,1
1465344735,0,1
1465347699,1,0
1465349081,1,0
1465351229,1,0
1465352257,0,1
1465357249,0,2
1465358964,0,2
1465363219,2,0
1465366826,0,1
1465372573,1,0
1465374748,0,1
1465376909,1,0
1465385546,1,0
1465386244,0,1
1465388468,1,1
1465390578,1,0
1465394182,0,1
1465394897,1,0
1465395871,2,0
1465398043,0,1
1465399387,0,1
1465401887,1,0
1465402573,0,1
1465404023,1,0
1465404736,1,0
1465410505,0,1
1465412649,0,1
1465414093,0,1
1465414870,1,0
1465416974,1,0
1465418420,1,0
1465421293,1,1
1465427048,1,0
1465435702,1,0
1465442210,0,2
1465445067,1,0
1465447969,1,0
1465449402,0,88
1465453730,1,2
1465454423,1,0
1465455854,1,0
1465458023,2,1
1465460174,0,3
1465464504,1,0
1465467399,1,0
1465476024,0,2
1465482523,2,0
1465486521,1,0
1465493780,1,0
1465496028,2,0
1465496668,1,0
1465499788,2,0
1465505542,1,0
1465506997,1,0
1465509860,1,0
1465521147,1,0
1465527876,1,0
1465528580,1,0
1465532908,1,1
1465535354,1,0
1465541800,1,0
1465546103,1,0
1465551852,0,1
1465554754,0,7
1465556198,0,6
1465564098,1,0
1465565563,1,0
1465567736,1,0
1465583545,0,6
1465587848,1,0
1465607296,1,1
1465615220,1,0
1465615950,1,0
1465618819,1,0
1465620275,1,0
1465626032,1,0
1465626753,2,1
1465630349,0,1
1465632498,0,1
1465633218,1,1
1465638971,1,0
1465639707,2,0
1465645716,0,1
1465650741,1,0
1465652193,0,1
1465652936,2,0
1465654348,1,0
1465655056,1,1
1465658896,0,11
1465660284,1,0
1465663938,0,2
1465666825,0,1
1465671140,1,0
1465675452,1,0
1465679805,1,0
1465684093,1,0
1465690580,1,0
1465693699,1,0
1465695848,1,0
1465698055,1,0
1465704035,0,1
1465705009,0,12
1465707852,0,3
1465714338,1,0
1465718655,1,0
1465719403,1,0
1465723698,1,0
1465725855,1,0
1465736689,1,0
1465739566,1,0
1465746022,1,0
1465746741,0,1
1465753837,1,0
1465755850,1,0
1465759459,1,0
1465771932,0,1
1465774100,0,1
1465782737,1,0
1465783449,1,0
1465784900,1,0
1465795701,1,0
1465800014,1,1
1465800733,2,0
1465803621,0,1
1465808155,1,0
1465811052,1,0
1465816810,1,0
1465820430,1,0
1465827431,3,0
1465832411,0,1
1465833139,1,0
1465833850,1,0
1465836732,1,0
1465840346,1,0
1465849959,1,0
1465864577,1,0
1465866759,1,1
1465869627,0,1
1465875845,1,0
1465883537,1,0
1465887145,1,0
1465890736,1,0
1465892176,3,0
1465892899,1,0
1465902249,1,0
1465905172,1,0
1465905871,1,1
1465909267,3,0
1465911385,1,0
1465912102,1,0
1465912834,1,0
1465913554,1,0
1465915238,2,0
1465916649,0,1
1465917398,1,0
1465918126,1,0
1465922415,1,0
1465923235,1,0
1465924844,0,2
1465927050,1,0
1465931547,1,0
1465933997,0,1
1465936104,0,1
1465936871,2,0
1465941377,1,0
1465942099,1,0
1465950749,0,1
1465956743,1,0
1465957450,1,0
1465964000,1,0
1465985534,6,0
1465987009,1,0
1465989855,1,0
1465995639,0,1
1465999246,0,1
1465999948,1,0
1466005225,1,1
1466009553,0,1
1466010364,1,0
1466012651,1,0
1466015546,1,0
1466017704,1,0
1466018411,0,1
1466019150,1,40
1466026343,1,0
1466029938,1,0
1466030653,1,0
1466032100,1,0
1466055388,1,1
1466058970,0,1
1466059746,1,0
1466060438,1,0
1466061148,2,0
1466062602,1,0
1466066184,2,0
1466067640,2,0
1466070500,1,0
1466071248,1,0
1466076251,0,1
1466084418,0,1
1466085864,0,1
1466088754,0,1
1466090191,0,2
1466096281,3,1
1466099779,0,2
1466101970,0,2
1466104809,1,0
1466106249,0,1
1466106977,3,0
1466110576,1,0
1466114893,0,1
1466117061,1,0
1466118503,0,1
1466121377,0,1
1466125000,1,1
1466130088,1,0
1466131456,0,1
1466133609,0,1
1466135054,0,1
1466139372,0,2
1466140820,2,2
1466141599,1,1
1466143701,0,1
1466145137,0,1
1466146583,0,1
1466151612,0,1
1466152413,1,0
1466155703,1,0
1466156413,0,1
1466161454,1,0
1466162178,4,1
1466163617,1,0
1466164336,4,0
1466165094,3,0
1466167936,1,0
1466168648,0,1
1466170092,0,1
1466174420,1,1
1466176624,0,1
1466178022,0,1
1466178740,3,0
1466179449,2,0
1466180891,1,0
1466183060,0,1
1466185931,0,1
1466188816,0,1
1466191693,0,2
1466195545,1,39
1466202016,1,0
1466218855,1,0
1466219544,1,0
1466220976,1,0
1466222436,1,0
1466224593,1,0
1466229648,1,0
1466231791,0,1
1466233287,1,0
1466233935,1,0
1466234651,2,0
1466241385,1,0
1466244255,0,1
1466244973,0,1
1466247150,1,0
1466254373,1,0
1466256483,0,1
1466257937,0,1
1466271615,1,0
1466272341,2,0
1466273049,2,0
1466277375,2,0
1466285323,1,1
1466287451,1,0
1466290336,1,1
1466292508,1,0
1466293972,0,1
1466295377,1,0
1466299729,1,0
1466300414,1,0
1466301854,0,1
1466302576,1,0
1466303744,0,67
1466304500,0,2
1466305957,0,2
1466307392,0,3
1466308354,0,1
1466309057,0,1
1466311219,0,1
1466312650,0,3
1466313391,0,3
1466314821,1,3
1466315602,0,1
1466316251,0,2
1466316978,1,2
1466318421,0,2
1466319145,0,3
1466323451,0,1
1466325614,0,1
1466327800,0,1
1466328507,0,3
1466329216,0,1
1466330647,0,1
1466332100,0,1
1466332860,1,1
1466350832,0,1
1466351537,0,1
1466353706,1,0
1466355902,1,0
1466358737,0,3
1466363810,1,0
1466364503,1,0
1466365212,0,1
1466368122,0,1
1466373142,2,0
1466375327,0,1
1466379620,1,1
1466381092,0,2
1466381800,0,1
1466385400,0,1
1466386847,0,1
1466395698,0,1
1466399302,1,0
1466405789,1,0
1466408651,0,1
1466413274,0,1
1466413983,1,1
1466416102,0,1
1466416853,0,1
1466417533,1,0
1466418250,0,2
1466430322,1,0
1466433850,0,1
1466436753,0,1
1466438172,1,1
1466438946,1,1
1466440344,0,2
1466441049,0,1
1466442513,1,0
1466444177,0,1
1466445632,0,1
1466447046,0,1
1466447784,0,1
1466448506,0,1
1466449240,1,0
1466449942,0,1
1466453090,1,0
1466454531,1,0
1466459301,0,1
1466466761,0,1
1466469617,0,1
1466471051,0,1
1466473214,1,0
1466475384,0,1
1466476097,1,1
1466478981,1,0
1466481852,0,1
